toxin_type,toxin_label,measured,detected,below_lod_or_zero_or_imported_empty,usable_context,detection_rate,below_lod_or_zero_or_imported_empty_rate
FB1,Fumonisin B1,512,52,460,464,0.1015625,0.8984375
TRY,Tryptophol,512,35,477,464,0.068359375,0.931640625
FUSA,Fusaric acid,512,24,488,464,0.046875,0.953125
HT2,HT-2 toxin,512,23,489,464,0.044921875,0.955078125
BEA,Beauvericin,512,22,490,464,0.04296875,0.95703125
TEN,Tentoxin,512,16,496,464,0.03125,0.96875
ZEA,Zearalenone,512,16,496,464,0.03125,0.96875
AME,Alternariol monomethyl ether,512,15,497,464,0.029296875,0.970703125
EMO,Emodin,512,15,497,464,0.029296875,0.970703125
MON,Moniliformin,512,15,497,464,0.029296875,0.970703125
FB2,Fumonisin B2,512,13,499,464,0.025390625,0.974609375
AFB1,Aflatoxin B1,512,10,502,464,0.01953125,0.98046875
DAS,Diacetoxyscirpenol,512,9,503,464,0.017578125,0.982421875
ENNB1,Enniatin B1,512,9,503,464,0.017578125,0.982421875
CIT,Citrinin,512,8,504,464,0.015625,0.984375
TEA,Tenuazonic acid,512,8,504,464,0.015625,0.984375
ENNB,Enniatin B,512,7,505,464,0.013671875,0.986328125
OTA,Ochratoxin A,512,7,505,464,0.013671875,0.986328125
ALT,Alternariol,512,6,506,464,0.01171875,0.98828125
DON,Deoxynivalenol,512,6,506,464,0.01171875,0.98828125
STC,Sterigmatocystin,512,5,507,464,0.009765625,0.990234375
ENNA1,Enniatin A1,512,4,508,464,0.0078125,0.9921875
MPA,Mycophenolic acid,512,4,508,464,0.0078125,0.9921875
AFG1,Aflatoxin G1,512,2,510,464,0.00390625,0.99609375
T-2,T-2 Toxin,512,2,510,464,0.00390625,0.99609375
AFB2,Aflatoxin B2,512,1,511,464,0.001953125,0.998046875
AFG2,Aflatoxin G2,512,1,511,464,0.001953125,0.998046875
CPA,Cyclopiazonic acid,512,1,511,464,0.001953125,0.998046875
ENNA,Enniatin A,512,1,511,464,0.001953125,0.998046875
15ADON,15-Acetyl-Deoxynivalenol,512,0,512,464,0.0,1.0
3ADON,3-Acetyl-Deoxynivalenol,512,0,512,464,0.0,1.0
D3G,Deoxynivalenol-3-glucoside,512,0,512,464,0.0,1.0
NEOS,Neosolaniol,512,0,512,464,0.0,1.0
NIV,Nivalenol,512,0,512,464,0.0,1.0
OTB,Ochratoxin B,512,0,512,464,0.0,1.0
PAT,Patulin,512,0,512,464,0.0,1.0
PAX,Paxiline,512,0,512,464,0.0,1.0
PEN,Penitrem A,512,0,512,464,0.0,1.0
TMP,Trimethoprim,512,0,512,464,0.0,1.0
