toxin_type,toxin_label,positive_rows,mean_positive,median_positive,p75_positive,max_positive
FB1,Fumonisin B1,52,97.98192307692308,39.22,63.625,802.22
TRY,Tryptophol,35,90.71857142857144,15.06,151.51,447.78
FUSA,Fusaric acid,24,13.28875,10.335,18.2625,49.35
HT2,HT-2 toxin,23,2.325217391304348,1.37,4.18,7.46
BEA,Beauvericin,22,4.638181818181819,3.015,6.5525,25.04
ZEA,Zearalenone,16,43.96375,10.5,40.2825,325.33
TEN,Tentoxin,16,1.07,0.6499999999999999,2.0324999999999998,3.11
AME,Alternariol monomethyl ether,15,1.418,1.05,2.465,4.11
MON,Moniliformin,15,21.092,1.71,8.76,250.03
EMO,Emodin,15,1.264,1.04,1.565,5.45
FB2,Fumonisin B2,13,52.55,41.18,85.72,133.02
AFB1,Aflatoxin B1,10,15.434000000000001,1.4849999999999999,19.4375,62.55
DAS,Diacetoxyscirpenol,9,2.9388888888888887,1.29,4.83,9.55
ENNB1,Enniatin B1,9,0.44999999999999996,0.17,0.39,2.47
TEA,Tenuazonic acid,8,2.48875,2.745,3.795,4.17
CIT,Citrinin,8,3.7937499999999997,0.775,3.5625,17.04
OTA,Ochratoxin A,7,3.654285714285714,0.72,5.085,13.27
ENNB,Enniatin B,7,1.192857142857143,0.75,1.76,3.18
DON,Deoxynivalenol,6,56.958333333333336,41.545,64.76750000000001,156.95
ALT,Alternariol,6,2.2566666666666664,1.92,3.425,4.33
STC,Sterigmatocystin,5,0.128,0.12,0.13,0.32
MPA,Mycophenolic acid,4,3.6975,3.955,4.4525,4.64
ENNA1,Enniatin A1,4,0.5700000000000001,0.185,0.5900000000000001,1.76
AFG1,Aflatoxin G1,2,0.18,0.18,0.195,0.21
T-2,T-2 Toxin,2,50.06,50.06,50.75,51.44
ENNA,Enniatin A,1,0.05,0.05,0.05,0.05
CPA,Cyclopiazonic acid,1,1.61,1.61,1.61,1.61
AFB2,Aflatoxin B2,1,1.09,1.09,1.09,1.09
AFG2,Aflatoxin G2,1,0.56,0.56,0.56,0.56
