toxin_type,measured,detected,below_lod_or_zero,usable_context,eligible
15ADON,512,0,512,464,False
3ADON,512,0,512,464,False
AFB1,512,10,502,464,False
AFB2,512,1,511,464,False
AFG1,512,2,510,464,False
AFG2,512,1,511,464,False
ALT,512,6,506,464,False
AME,512,15,497,464,False
BEA,512,22,490,464,False
CIT,512,8,504,464,False
CPA,512,1,511,464,False
D3G,512,0,512,464,False
DAS,512,9,503,464,False
DON,512,6,506,464,False
EMO,512,15,497,464,False
ENNA,512,1,511,464,False
ENNA1,512,4,508,464,False
ENNB,512,7,505,464,False
ENNB1,512,9,503,464,False
FB2,512,13,499,464,False
FUSA,512,24,488,464,False
HT2,512,23,489,464,False
MON,512,15,497,464,False
MPA,512,4,508,464,False
NEOS,512,0,512,464,False
NIV,512,0,512,464,False
OTA,512,7,505,464,False
OTB,512,0,512,464,False
PAT,512,0,512,464,False
PAX,512,0,512,464,False
PEN,512,0,512,464,False
STC,512,5,507,464,False
T-2,512,2,510,464,False
TEA,512,8,504,464,False
TEN,512,16,496,464,False
TMP,512,0,512,464,False
ZEA,512,16,496,464,False
