toxin_type,toxin_label,measured,detected,below_lod_or_zero,below_lod_or_zero_rate,detection_rate,min_positive_ug_kg,p25_positive_ug_kg,median_positive_ug_kg,p75_positive_ug_kg,max_positive_ug_kg,mean_positive_ug_kg
FB1,Fumonisin B1,512,52,460,0.898438,0.101562,0.81,18.2525,39.22,63.625,802.22,97.981923
TRY,Tryptophol,512,35,477,0.931641,0.068359,0.19,8.055,15.06,151.51,447.78,90.718571
FUSA,Fusaric acid,512,24,488,0.953125,0.046875,0.42,1.4275,10.335,18.2625,49.35,13.28875
HT2,HT-2 toxin,512,23,489,0.955078,0.044922,0.07,0.415,1.37,4.18,7.46,2.325217
BEA,Beauvericin,512,22,490,0.957031,0.042969,0.04,0.505,3.015,6.5525,25.04,4.638182
TEN,Tentoxin,512,16,496,0.96875,0.03125,0.02,0.11,0.65,2.0325,3.11,1.07
ZEA,Zearalenone,512,16,496,0.96875,0.03125,0.41,6.525,10.5,40.2825,325.33,43.96375
AME,Alternariol monomethyl ether,512,15,497,0.970703,0.029297,0.01,0.15,1.05,2.465,4.11,1.418
EMO,Emodin,512,15,497,0.970703,0.029297,0.04,0.27,1.04,1.565,5.45,1.264
MON,Moniliformin,512,15,497,0.970703,0.029297,0.35,1.225,1.71,8.76,250.03,21.092
FB2,Fumonisin B2,512,13,499,0.974609,0.025391,3.21,14.14,41.18,85.72,133.02,52.55
AFB1,Aflatoxin B1,512,10,502,0.980469,0.019531,0.36,0.72,1.485,19.4375,62.55,15.434
DAS,Diacetoxyscirpenol,512,9,503,0.982422,0.017578,0.11,0.49,1.29,4.83,9.55,2.938889
ENNB1,Enniatin B1,512,9,503,0.982422,0.017578,0.04,0.11,0.17,0.39,2.47,0.45
CIT,Citrinin,512,8,504,0.984375,0.015625,0.28,0.3625,0.775,3.5625,17.04,3.79375
TEA,Tenuazonic acid,512,8,504,0.984375,0.015625,0.21,1.495,2.745,3.795,4.17,2.48875
ENNB,Enniatin B,512,7,505,0.986328,0.013672,0.17,0.365,0.75,1.76,3.18,1.192857
OTA,Ochratoxin A,512,7,505,0.986328,0.013672,0.23,0.595,0.72,5.085,13.27,3.654286
ALT,Alternariol,512,6,506,0.988281,0.011719,0.63,1.09,1.92,3.425,4.33,2.256667
DON,Deoxynivalenol,512,6,506,0.988281,0.011719,9.57,25.11,41.545,64.7675,156.95,56.958333
STC,Sterigmatocystin,512,5,507,0.990234,0.009766,0.03,0.04,0.12,0.13,0.32,0.128
ENNA1,Enniatin A1,512,4,508,0.992188,0.007812,0.15,0.165,0.185,0.59,1.76,0.57
MPA,Mycophenolic acid,512,4,508,0.992188,0.007812,2.24,3.2,3.955,4.4525,4.64,3.6975
AFG1,Aflatoxin G1,512,2,510,0.996094,0.003906,0.15,0.165,0.18,0.195,0.21,0.18
T-2,T-2 Toxin,512,2,510,0.996094,0.003906,48.68,49.37,50.06,50.75,51.44,50.06
AFB2,Aflatoxin B2,512,1,511,0.998047,0.001953,1.09,1.09,1.09,1.09,1.09,1.09
AFG2,Aflatoxin G2,512,1,511,0.998047,0.001953,0.56,0.56,0.56,0.56,0.56,0.56
CPA,Cyclopiazonic acid,512,1,511,0.998047,0.001953,1.61,1.61,1.61,1.61,1.61,1.61
ENNA,Enniatin A,512,1,511,0.998047,0.001953,0.05,0.05,0.05,0.05,0.05,0.05
15ADON,15-Acetyl-Deoxynivalenol,512,0,512,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3ADON,3-Acetyl-Deoxynivalenol,512,0,512,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,512,0,512,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEOS,Neosolaniol,512,0,512,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIV,Nivalenol,512,0,512,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTB,Ochratoxin B,512,0,512,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAT,Patulin,512,0,512,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAX,Paxiline,512,0,512,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEN,Penitrem A,512,0,512,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMP,Trimethoprim,512,0,512,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
