toxin_type,toxin_label,measured,detected,below_lod_or_zero,detection_rate,usable_context,usable_context_rate
FB1,Fumonisin B1,512,52,460,0.101562,464,0.90625
TRY,Tryptophol,512,35,477,0.068359,464,0.90625
FUSA,Fusaric acid,512,24,488,0.046875,464,0.90625
HT2,HT-2 toxin,512,23,489,0.044922,464,0.90625
BEA,Beauvericin,512,22,490,0.042969,464,0.90625
TEN,Tentoxin,512,16,496,0.03125,464,0.90625
ZEA,Zearalenone,512,16,496,0.03125,464,0.90625
AME,Alternariol monomethyl ether,512,15,497,0.029297,464,0.90625
EMO,Emodin,512,15,497,0.029297,464,0.90625
MON,Moniliformin,512,15,497,0.029297,464,0.90625
FB2,Fumonisin B2,512,13,499,0.025391,464,0.90625
AFB1,Aflatoxin B1,512,10,502,0.019531,464,0.90625
DAS,Diacetoxyscirpenol,512,9,503,0.017578,464,0.90625
ENNB1,Enniatin B1,512,9,503,0.017578,464,0.90625
CIT,Citrinin,512,8,504,0.015625,464,0.90625
TEA,Tenuazonic acid,512,8,504,0.015625,464,0.90625
ENNB,Enniatin B,512,7,505,0.013672,464,0.90625
OTA,Ochratoxin A,512,7,505,0.013672,464,0.90625
ALT,Alternariol,512,6,506,0.011719,464,0.90625
DON,Deoxynivalenol,512,6,506,0.011719,464,0.90625
STC,Sterigmatocystin,512,5,507,0.009766,464,0.90625
ENNA1,Enniatin A1,512,4,508,0.007812,464,0.90625
MPA,Mycophenolic acid,512,4,508,0.007812,464,0.90625
AFG1,Aflatoxin G1,512,2,510,0.003906,464,0.90625
T-2,T-2 Toxin,512,2,510,0.003906,464,0.90625
AFB2,Aflatoxin B2,512,1,511,0.001953,464,0.90625
AFG2,Aflatoxin G2,512,1,511,0.001953,464,0.90625
CPA,Cyclopiazonic acid,512,1,511,0.001953,464,0.90625
ENNA,Enniatin A,512,1,511,0.001953,464,0.90625
15ADON,15-Acetyl-Deoxynivalenol,512,0,512,0.0,464,0.90625
3ADON,3-Acetyl-Deoxynivalenol,512,0,512,0.0,464,0.90625
D3G,Deoxynivalenol-3-glucoside,512,0,512,0.0,464,0.90625
NEOS,Neosolaniol,512,0,512,0.0,464,0.90625
NIV,Nivalenol,512,0,512,0.0,464,0.90625
OTB,Ochratoxin B,512,0,512,0.0,464,0.90625
PAT,Patulin,512,0,512,0.0,464,0.90625
PAX,Paxiline,512,0,512,0.0,464,0.90625
PEN,Penitrem A,512,0,512,0.0,464,0.90625
TMP,Trimethoprim,512,0,512,0.0,464,0.90625
