toxin_type,toxin_label,province,measured,detected,detection_rate,mean_positive_concentration_ug_kg,max_positive_concentration_ug_kg
15ADON,15-Acetyl-Deoxynivalenol,Amnart Charoen,15,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Bangkok,1,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Chaiyaphum,1,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Chiang Mai,86,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Chiang Rai,21,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Kalasin,2,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Kampong Thom,2,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Kampot,1,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Lampang,21,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Mahasarakham,10,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Mukdahan,15,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Nakhon Pathom,32,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Narathiwat,18,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Pathum Thani,6,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Pha Yao,17,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Phayao,6,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Phichit,2,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Phnom Phen,4,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Roi Et,53,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Si Sa Ket,23,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Siem Reap,4,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Songkhla,13,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Suphan Buri,4,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Surin,37,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Takhmao,3,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Ubon Ratchathani,43,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Unspecified area,48,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Yala,4,0,0.0,0.0,0.0
15ADON,15-Acetyl-Deoxynivalenol,Yasothon,20,0,0.0,0.0,0.0
3ADON,3-Acetyl-Deoxynivalenol,Amnart Charoen,15,0,0.0,0.0,0.0
3ADON,3-Acetyl-Deoxynivalenol,Bangkok,1,0,0.0,0.0,0.0
3ADON,3-Acetyl-Deoxynivalenol,Chaiyaphum,1,0,0.0,0.0,0.0
3ADON,3-Acetyl-Deoxynivalenol,Chiang Mai,86,0,0.0,0.0,0.0
3ADON,3-Acetyl-Deoxynivalenol,Chiang Rai,21,0,0.0,0.0,0.0
3ADON,3-Acetyl-Deoxynivalenol,Kalasin,2,0,0.0,0.0,0.0
3ADON,3-Acetyl-Deoxynivalenol,Kampong Thom,2,0,0.0,0.0,0.0
3ADON,3-Acetyl-Deoxynivalenol,Kampot,1,0,0.0,0.0,0.0
3ADON,3-Acetyl-Deoxynivalenol,Lampang,21,0,0.0,0.0,0.0
